"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101178268";"0";"0";"0";"0";"0"
"101132426";"0";"0";"0";"0";"0"
"101155748";"0";"100";"0";"100";"0"
"101057853";"0";"0";"0";"0";"0"
"101095290";"40";"0";"0";"0";"0"
"101168023";"0";"0";"0";"0";"100"
"101132586";"0";"0";"0";"0";"0"
"101080249";"40";"0";"0";"0";"40"
"101057795";"0";"0";"0";"0";"0"
"101081460";"0";"0";"0";"100";"0"
"101094626";"0";"0";"0";"0";"0"
"101178743";"0";"0";"0";"0";"0"
"101056793";"0";"0";"0";"0";"0"
"101073821";"40";"0";"0";"40";"40"
"101056927";"0";"0";"0";"100";"0"
"101121167";"40";"0";"0";"0";"40"
